,brand,price,year,mileage
200,BMW,14490,2013,142121
201,Mitsubishi,23990,2018,77700
202,Toyota,9990,2013,135800
203,Peugeot,10990,2016,116800
204,Mazda,12990,2016,101300
205,Kia,19490,2019,42000
206,Opel,10990,2014,90000
207,Mercedes,14990,2014,173170
208,Suzuki,10990,2017,56000
209,SEAT,9990,2013,112200
210,Jeep,14490,2018,52400
211,Toyota,9990,2017,95200
212,Renault,15990,2017,55603
213,SEAT,14990,2018,43451
214,Jeep,20490,2019,26200
215,SEAT,15990,2014,143065
216,Peugeot,14990,2018,86700
217,SEAT,25990,2019,25000
218,Mazda,16490,2018,78600
219,SEAT,18490,2018,86390
220,SEAT,11990,2017,55195
221,Peugeot,9490,2016,68720
222,Renault,14990,2018,110150
223,BMW,27990,2016,195000
224,BMW,24990,2017,94370
225,Opel,11490,2016,103056
226,Volkswagen,21430,2021,15600
227,Mercedes,29950,2018,65700
228,Jeep,24410,2019,7000
229,Opel,10930,2017,102000
230,Mini,14470,2013,154000
231,Honda,16210,2016,92000
232,Jeep,16250,2019,102000
233,Ford,19990,2019,53400
234,Hyundai,12990,2014,56800
235,Land,48990,2019,33703
236,BMW,24990,2017,37197
237,BMW,20490,2017,37833
238,Kia,13990,2016,137000
239,Nissan,9990,2013,123500
240,Hyundai,11490,2017,65000
241,Peugeot,11990,2018,17600
242,Peugeot,6990,2012,102762
243,Citroen,12990,2017,24000
244,Porsche,28380,2013,122000
245,Audi,25330,2019,63500
246,Toyota,10880,2014,122800
247,Peugeot,21490,2018,93380
248,Audi,12990,2015,85700
249,SEAT,11990,2015,56455
250,Mercedes,23990,2015,144100
251,Audi,15490,2016,113000
252,Kia,8680,2017,65600
253,Citroen,10490,2016,120000
254,Renault,21990,2020,3300
255,Citroen,7490,2012,160000
256,Citroen,8490,2014,150075
257,Land,23990,2015,75756
258,Ford,10490,2019,40843
259,Nissan,10990,2011,138550
260,Citroen,23990,2021,27200
261,Jaguar,28990,2016,82000
262,Opel,15490,2019,66500
263,BMW,16990,2016,132450
264,SEAT,9290,2015,122800
265,Mitsubishi,15990,2018,60000
266,Peugeot,14990,2017,88300
267,Dacia,7990,2016,45190
268,Jaguar,41990,2016,53995
269,Toyota,11990,2019,28392
270,Mini,23990,2018,40900
271,Ford,10990,2015,121846
272,Land,39990,2017,32703
273,Kia,13990,2016,62900
274,Mini,14990,2017,113275
275,Peugeot,10990,2017,58323
276,Peugeot,12990,2018,82172
277,SEAT,14990,2018,81533
278,Toyota,19990,2018,51520
279,Volkswagen,16990,2015,140927
280,Citroen,11990,2018,51712
281,Ford,8990,2016,64175
282,Audi,15490,2014,179383
283,SEAT,12990,2017,17561
284,Volkswagen,11990,2015,95677
285,SEAT,12990,2018,60000
286,Toyota,14990,2018,119000
287,Volkswagen,14990,2013,141100
288,Mercedes,39990,2018,99700
289,Nissan,18490,2019,118700
290,Ford,14990,2017,69000
291,Fiat,13990,2019,68300
292,Fiat,14990,2017,89000
293,Citroen,9990,2016,118069
294,SEAT,24990,2019,65833
295,Mercedes,11990,2018,82000
296,Ford,15490,2019,25000
297,Citroen,10990,2012,97500
298,SEAT,18990,2018,112250
299,Peugeot,19490,2016,95200
300,Citroen,10990,2014,86007
301,Suzuki,15490,2019,72073
302,Peugeot,7490,2015,145954
303,BMW,12490,2013,75600
304,Audi,21490,2017,161400
305,Hyundai,9990,2014,57800
306,Skoda,8210,2016,73000
307,Peugeot,15990,2020,21660
308,Fiat,6990,2018,189800
309,BMW,10990,2012,135000
310,Hyundai,7990,2012,186350
311,BMW,15990,2017,98600
312,BMW,20490,2018,110000
313,Ford,13990,2018,28467
314,Citroen,11990,2019,44200
315,BMW,15490,2015,144900
316,Toyota,15990,2018,64000
317,Audi,29990,2019,18200
318,Fiat,9990,2017,80131
319,Fiat,11490,2019,40000
320,Kia,10990,2019,16509
321,Mercedes,58990,2018,111000
322,Peugeot,12490,2016,87000
323,Mercedes,34990,2018,77738
324,Smart,10490,2016,51500
325,Peugeot,10990,2017,115000
326,BMW,23990,2017,126000
327,Mitsubishi,9990,2011,98814
328,BMW,30990,2018,101240
329,Volkswagen,16990,2017,73153
330,Volkswagen,14990,2017,65655
331,Renault,6990,2013,161540
332,BMW,20990,2017,178000
333,Volkswagen,10990,2013,136000
334,SEAT,9490,2015,112700
335,Jaguar,22990,2019,51080
336,Nissan,19970,2018,55250
337,Nissan,11180,2018,122900
338,Ford,15990,2019,30058
339,Ford,23490,2020,28000
340,Kia,15990,2020,22800
341,Volkswagen,23460,2019,19500
342,Honda,14990,2013,110000
343,Mercedes,16490,2014,70000
344,Kia,14490,2016,118000
345,SEAT,13580,2014,90000
346,Ford,13990,2014,69429
347,Smart,12490,2018,60000
348,Toyota,10990,2019,16184
349,Jeep,24990,2021,6500
350,Mini,14990,2016,62832
351,Toyota,17490,2016,36000
352,Kia,11990,2021,3800
353,Mini,14990,2015,145278
354,Ford,11490,2016,165000
355,Mitsubishi,10990,2014,154300
356,Kia,15990,2019,64000
357,Audi,20990,2019,40457
358,Opel,11490,2015,45300
359,Citroen,14480,2018,41360
360,Volvo,28990,2021,6000
361,Kia,13990,2019,70000
362,Hyundai,16990,2018,43390
363,Citroen,11990,2018,55145
364,Renault,11990,2016,86310
365,Ford,8990,2015,71100
366,Nissan,7490,2015,85000
367,SEAT,10990,2014,95650
368,Volkswagen,15990,2015,146500
369,Fiat,9990,2017,73700
370,Mercedes,27990,2018,75716
371,BMW,82580,2021,14000
372,Opel,10990,2018,47450
373,Ford,16490,2019,28592
374,Peugeot,10490,2016,80826
375,Nissan,18490,2019,109575
376,Mini,20990,2019,20525
377,SEAT,18990,2019,49200
378,Ford,13490,2019,71000
379,Renault,14990,2019,22137
380,Jaguar,34990,2018,32920
381,SEAT,20990,2017,15000
382,Ford,17990,2019,42800
383,Kia,12990,2018,30000
384,Cupra,31990,2019,30000
385,Toyota,22990,2020,21450
386,Volkswagen,16990,2017,110700
387,Jeep,17990,2018,13000
388,Kia,9990,2011,101000
389,Audi,19990,2016,144042
390,Audi,9990,2014,142359
391,Citroen,7990,2014,47100
392,Mercedes,18970,2015,170000
393,Ford,16990,2019,26500
394,Honda,36990,2018,17349
395,Volvo,13490,2014,61987
396,Opel,10990,2016,82650
397,Fiat,10490,2018,53021
398,Audi,23990,2015,155223
399,Mercedes,33860,2018,87500
400,Audi,19590,2017,101567
401,SEAT,12990,2014,163000
402,Ford,18780,2019,71000
403,SEAT,11790,2018,53000
404,Audi,20990,2011,137000
405,SEAT,17490,2017,47120
406,Jeep,17360,2011,160000
407,Fiat,12990,2019,28669
408,SEAT,14990,2015,147978
409,Ford,14490,2020,11920
410,Kia,14490,2015,92000
411,Renault,14990,2015,130165
412,Mazda,16990,2017,106000
413,SEAT,24990,2017,53500
414,SEAT,16990,2018,92959
415,Dacia,7490,2015,50500
416,Citroen,8990,2015,154565
417,Nissan,9990,2013,95142
418,Peugeot,7990,2015,61500
419,Citroen,8990,2016,142350
420,Kia,19990,2017,86600
421,Opel,11990,2017,98700
422,Volkswagen,22490,2016,141350
423,Ford,10990,2016,125600
424,Nissan,14990,2017,131000
425,Peugeot,8990,2018,60000
426,Fiat,17290,2020,13423
427,Smart,12490,2017,68180
428,Volkswagen,9290,2013,129980
429,Ford,16490,2019,58520
430,Ford,7490,2016,48000
431,Mercedes,15990,2014,201000
432,Mercedes,34490,2017,95950
433,Toyota,15990,2019,38255
434,SEAT,8490,2012,169927
435,Toyota,33990,2015,157515
436,Kia,22490,2017,115601
437,Toyota,14590,2018,56935
438,Mercedes,14490,2013,145240
439,Opel,9990,2016,32806
440,Land,22990,2016,109296
441,Opel,12490,2017,40000
442,Renault,11990,2016,56300
443,Ford,17990,2019,25543
444,Toyota,12990,2014,65989
445,SEAT,16490,2016,63910
446,Volkswagen,9990,2013,158500
447,Peugeot,16990,2019,32550
448,Mini,19990,2018,28492
449,Nissan,13990,2019,13500
450,Volvo,28490,2018,128000
451,Audi,32490,2019,61800
452,Peugeot,23490,2018,130500
453,SEAT,16710,2019,50500
454,Toyota,31990,2020,21000
455,Toyota,19990,2017,133000
456,Renault,18990,2018,46000
457,Dacia,8990,2015,96960
458,Mercedes,28990,2016,103500
459,Mazda,21490,2018,18000
460,Land,17490,2013,137000
461,Volkswagen,12990,2013,113800
462,Peugeot,14990,2017,87550
463,Mercedes,22990,2018,56099
464,Mercedes,19990,2015,108000
465,Cupra,27990,2021,6308
466,Fiat,8790,2014,109162
467,Renault,17490,2017,47154
468,Renault,14990,2018,41368
469,Mazda,22490,2018,20545
470,Honda,17990,2016,63800
471,Mitsubishi,15990,2018,95274
472,Peugeot,9990,2015,116806
